increment,price,zero
299,226.580002,0
300,231.690002,0
301,232.539993,0
302,233.190002,0
303,236.550003,0
304,234.669998,0
305,235.779999,0
306,235.600006,0
307,236.539993,0
308,233.339996,0
309,235.330002,0
310,234.720001,0
311,237.300003,0
312,238.970001,0
313,238.899994,0
314,235.139999,0
315,235.710007,0
316,232.470001,0
317,228.690002,0
318,228.630005,0
319,233.520004,0
320,233.75,0
321,236.440002,0
322,235.970001,0
323,237.279999,0
324,237.729996,0
325,242.220001,0
326,243.029999,0
327,242.380005,0
328,244.740005,0
329,242.419998,0
330,241.75,0
331,242.020004,0
332,242.289993,0
333,243.080002,0
334,240.509995,0
335,235.520004,0
336,235.160004,0
337,234.789993,0
338,237.729996,0
339,237.240005,0
340,236.080002,0
341,237.130005,0
342,237.850006,0
343,237.580002,0
344,236.410004,0
345,237.539993,0
346,234.429993,0
347,232.759995,0
348,233.199997,0
349,236.110001,0
350,235.449997,0
351,240.119995,0
352,241.350006,0
353,244.75,0
354,246.630005,0
355,247.979996,0
356,247.350006,0
357,245.039993,0
358,245.509995,0
359,243.940002,0
360,245.649994,0
361,245.669998,0
362,239.960007,0
363,239.580002,0
364,241.130005,0
365,241.490005,0
366,245.729996,0
367,246.130005,0
368,244.350006,0
369,244.990005,0
370,244.059998,0
371,247.580002,0
372,245.259995,0
373,247.029999,0
374,248.929993,0
375,248.740005,0
376,249.600006,0
377,250.839996,0
378,252.039993,0
379,252.699997,0
380,251.789993,0
381,244.050003,0
382,241.589996,0
383,242.820007,0
384,243.009995,0
385,242.220001,0
386,238.110001,0
387,233.660004,0
388,235.009995,0
389,236.070007,0
390,236.360001,0
391,236.240005,0
392,238.179993,0
393,238.669998,0
394,237.949997,0
395,240.220001,0
396,236.009995,0
397,234.550003,0
398,236.589996,0
399,236.119995,0
400,234.910004,0
401,235.990005,0
402,237.029999,0
403,236.839996,0
404,237.039993,0
405,236.880005,0
406,240.679993,0
407,243.339996,0
408,245.669998,0
409,246.25,0
410,247.149994,0
411,247.380005,0
412,246.509995,0
413,249.770004,0
414,249.669998,0
415,250.190002,0
416,247.809998,0
417,252.839996,0
418,253.300003,0
419,252.839996,0
420,252.929993,0
421,248.520004,0
422,250.080002,0
423,253.830002,0
424,250.470001,0
425,248.139999,0
426,247.669998,0
427,247.059998,0
428,235.179993,0
429,230.669998,0
430,231.940002,0
431,231.720001,0
432,231.679993,0
433,232.309998,0
434,232.210007,0
435,234.929993,0
436,235.669998,0
437,236.279999,0
438,231.830002,0
439,232.229996,0
440,229.910004,0
441,231.320007,0
442,233.600006,0
443,233.919998,0
444,233.710007,0
445,234.779999,0
446,234.410004,0
447,236.679993,0
448,235.850006,0
449,235.479996,0
450,235.910004,0
451,235.369995,0
452,238.800003,0
453,239.529999,0
454,238.839996,0
455,235.970001,0
456,235.880005,0
457,236.259995,0
458,239.279999,0
459,238.259995,0
460,238.770004,0
461,239.259995,0
462,240.940002,0
463,243.710007,0
464,243.979996,0
465,245.800003,0
466,246.199997,0
467,246.580002,0
468,245.869995,0
469,245.770004,0
470,246.130005,0
471,247.080002,0
472,246.639999,0
473,243.020004,0
474,244.5,0
475,243.210007,0
476,236.779999,0
477,237.660004,0
478,242.050003,0
479,245.860001,0
480,247.449997,0
481,248.169998,0
482,248.770004,0
483,249.220001,0
484,249.050003,0
485,254,0
486,253.850006,0
487,253.039993,0
488,251.169998,0
489,251.160004,0
490,249.279999,0
491,250.960007,0
492,248.169998,0
493,247.350006,0
494,248.210007,0
495,250.039993,0
496,247.559998,0
497,246.779999,0
498,249.729996,0
499,248.75,0
500,246.339996,0
501,246.75,0
502,246.919998,0
503,244.669998,0
504,243.369995,0
505,242.169998,0
506,246.449997,0
507,252.190002,0
508,252.779999,0
509,255.330002,0
510,257.279999,0
511,258.730011,0
512,260.299988,0
513,259.950012,0
514,262.640015,0
515,265.48999,0
516,266.279999,0
517,269.339996,0
518,269.040009,0
519,267.839996,0
520,273.910004,0
521,270.100006,0
522,269.609985,0
523,273.75,0
524,275.399994,0
525,274.23999,0
526,274.079987,0
527,276.450012,0
528,275.98999,0
529,279.640015,0
530,281.160004,0
531,280.040009,0
532,278.160004,0
533,275.070007,0
534,277.540009,0
535,275.619995,0
536,279.700012,0
537,285.48999,0
538,285.420013,0
539,285.570007,0
540,285.480011,0
541,282.380005,0
542,282.880005,0
543,284,0
544,282.959991,0
545,284.200012,0
546,283,0
547,284.119995,0
548,288.619995,0
549,290.519989,0
550,290.660004,0
551,288.299988,0
552,290.859985,0
553,290.309998,0
554,291.220001,0
555,289.890015,0
556,288.230011,0
557,292.470001,0
558,292.779999,0
559,294.079987,0
560,298.170013,0
561,301.160004,0
562,301.640015,0
563,300.380005,0
564,300.929993,0
565,296.130005,0
566,289.200012,0
567,291.700012,0
568,292.380005,0
569,293.630005,0
570,300.410004,0
571,301.950012,0
572,296.690002,0
573,297.26001,0
574,292.859985,0
575,292.48999,0
576,285.619995,0
577,279.160004,0
578,284.440002,0
579,286.910004,0
580,286.089996,0
581,293.070007,0
582,287.190002,0
583,286.820007,0
584,281.519989,0
585,281.829987,0
586,282.51001,0
587,284.570007,0
588,288.359985,0
589,288.029999,0
590,289.359985,0
591,295.339996,0
592,295.470001,0
593,294.709991,0
594,293.369995,0
595,291.570007,0
596,293.299988,0
597,293.980011,0
598,294.23999,0
599,287.429993,0
600,286.649994,0
601,279.619995,0
602,278.209991,0
603,280.170013,0
604,282.160004,0
605,289.109985,0
606,288.730011,0
607,290.76001,0
608,290.100006,0
609,289.829987,0
610,288.459991,0
611,293.470001,0
612,295.089996,0
613,293.450012,0
614,296.720001,0
615,297.279999,0
616,297.470001,0
617,298.730011,0
618,301.619995,0
619,303.140015,0
620,304.76001,0
621,304.809998,0
622,305.690002,0
623,306.970001,0
624,309.649994,0
625,308.429993,0
626,306.859985,0
627,308.959991,0
628,307.160004,0
629,307.899994,0
630,304,0
631,302.940002,0
632,305.630005,0
633,304.920013,0
634,307.399994,0
635,308.290009,0
636,307.519989,0
637,308.369995,0
638,307.630005,0
639,310.679993,0
640,310.420013,0
641,312.700012,0
642,314.589996,0
643,311.390015,0
644,308.549988,0
645,308.470001,0
646,307.809998,0
647,309.269989,0
648,310.649994,0
649,312.329987,0
650,315.649994,0
651,318.049988,0
652,318.660004,0
653,317.570007,0
654,316.230011,0
655,318.450012,0
656,322.089996,0
657,323,0
658,328,0
659,333.329987,0
660,332.390015,0
661,334.649994,0
662,333.98999,0
663,334.109985,0
664,329.25,0
665,329.829987,0
666,334.839996,0
667,335.899994,0
668,333.329987,0
669,336.769989,0
670,334.570007,0
671,331.380005,0
672,327.040009,0
673,329.799988,0
674,323.399994,0
675,321.679993,0
676,320.209991,0
677,316.700012,0
678,313.559998,0
679,313.920013,0
680,317.130005,0
681,321.980011,0
682,323.079987,0
683,317.73999,0
684,314.859985,0
685,314.929993,0
686,314.859985,0
687,310.540009,0
688,319.5,0
689,321.190002,0
690,319.720001,0
691,320.160004,0
692,323.200012,0
693,321.690002,0
694,321.829987,0
695,327.329987,0
696,328.070007,0
697,328.079987,0
698,319.220001,0
699,318.540009,0
700,314.160004,0
701,311.070007,0
702,309.390015,0
703,314.519989,0
704,305.230011,0
705,298.079987,0
706,282.700012,0
707,224.839996,0
708,236.830002,0
709,258.380005,0
710,248.25,0
711,248.220001,0
712,227.669998,0
713,233.190002,0
714,233.279999,0
715,244.770004,0
716,251.789993,0
717,255.75,0
718,250.820007,0
719,248.960007,0
720,254.479996,0
721,250.410004,0
722,243.169998,0
723,239,0
724,241.899994,0
725,248.520004,0
726,245.639999,0
727,246.759995,0
728,243.039993,0
729,245.550003,0
730,240.050003,0
731,242,0
732,242.990005,0
733,246.389999,0
734,244.100006,0
735,240.339996,0
736,230.300003,0
737,232,0
738,233.449997,0
739,225.210007,0
740,223.919998,0
741,228.759995,0
742,234.910004,0
743,238.889999,0
744,233.570007,0
745,235.320007,0
746,242.190002,0
747,242.809998,0
748,248.080002,0
749,242.979996,0
750,249.160004,0
751,249.539993,0
752,249.949997,0
753,253.160004,0
754,252.029999,0
755,245.570007,0
756,244.589996,0
757,247.860001,0
758,247.080002,0
759,255.940002,0
760,258.630005,0
761,258.890015,0
762,261.070007,0
763,243.399994,0
764,247.490005,0
765,245.419998,0
766,245.809998,0
767,245.880005,0
768,252.050003,0
769,251.880005,0
770,249.320007,0
771,242.630005,0
772,243.139999,0
773,246.5,0
774,252.169998,0
775,249.570007,0
776,249.380005,0
777,253.289993,0
778,257.070007,0
779,255.039993,0
780,255.570007,0
781,252.210007,0
782,252.210007,0
783,250.960007,0
784,249.100006,0
785,251.720001,0
786,256.660004,0
787,255.949997,0
788,257.630005,0
789,259.829987,0
790,259.209991,0
791,257.910004,0
792,261.609985,0
793,265.640015,0
794,265.019989,0
795,264.429993,0
796,261.579987,0
797,262.459991,0
798,267.820007,0
799,267.220001,0
800,267.980011,0
801,267.880005,0
802,267.299988,0
803,267.380005,0
804,269.429993,0
805,269.059998,0
806,263.839996,0
807,264.940002,0
808,266.369995,0
809,266.130005,0
810,268.649994,0
811,271.220001,0
812,271.119995,0
813,268.73999,0
814,268.839996,0
815,268.910004,0
816,263.350006,0
817,258.51001,0
818,258.059998,0
819,260.070007,0
820,258.070007,0
821,258.890015,0
822,256.089996,0
823,258.51001,0
824,265.48999,0
825,266.160004,0
826,269.429993,0
827,270.160004,0
828,271.369995,0
829,271.579987,0
830,259.75,0
831,259.769989,0
832,259.209991,0
833,257.920013,0
834,256.130005,0
835,256.420013,0
836,260.140015,0
837,262.51001,0
838,263.929993,0
